,Unnamed: 0,Unnamed: 0.1,학번,학과,전공,전공교수,rec014_nation_cd,과정,수료년도,수료학기,rec014_birth_dt,졸업년도,졸업학기,gpa,rec014_school_term,서류점수,면접점수,대학원출신,인건비총액,학생소속대학명_간호대학,학생소속대학명_경영대학,학생소속대학명_공과대학,학생소속대학명_디자인조형학부,학생소속대학명_문과대학,학생소속대학명_미디어학부,학생소속대학명_법과대학,학생소속대학명_보건과학대학,학생소속대학명_사범대학,학생소속대학명_생명과학대학,학생소속대학명_심리학부,학생소속대학명_의과대학,학생소속대학명_이과대학,학생소속대학명_정경대학,학생소속대학명_정보대학,학생소속대학명_정보보호학부,학생교육부계열_공학,학생교육부계열_예·체능,학생교육부계열_의학,학생교육부계열_인문·사회,학생교육부계열_자연과학,성별_1,성별_2,입학과정_군위탁생,입학과정_복수학위제,입학과정_외국인,입학과정_정원내신입학,입학과정_정원내재입학,입학과정_정원외-계약학과,입학과정_정원외북탈민,입학과정_편입학석사(2학기),입학과정_편입학석사(3학기),입학과정_학·석사연계과정,입학과정_학연산협동과정,학적_졸업,학부출신_자교,학부출신_타교
26,26,34,AAG5iEjPnv59pDZECcWJQeYE,전기전자공학과,컴퓨터공학전공,AAFtNGSLAiOzKhtl6fTSFWNQ,KOR,석사과정,2020.0,1R,19931020,2020,1R,4.39,4,45.6,42.5,,2400000.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
27,27,35,AAGA8ehpPuZ8mTBYGK96gY4p,교육학과,인적자원개발 및 성인계속교육학전공,AAFYU8vMla8nEdIofQ7Vx/+Z,KOR,석사과정,2020.0,1R,19900313,2020,1R,4.44,4,43.44,37.67,,2515000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
28,28,36,AAFlGQO1STBp8XUzaSmZflc0,전기전자공학과,신호 및 멀티미디어전공,AAG0SPmPhzsUQPZ46a9++2no,KOR,석사과정,2020.0,1R,19940504,2020,1R,4.25,4,46.1,48.2,,13920000.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
29,29,40,AAFs62m1VAWmtcD3YbNhQLFL,사학과,서양사전공,AAEdKEgevdb23bqcf43mD1rl,KOR,석사과정,2019.0,1R,19911209,2020,1R,4.27,5,43.0,44.0,,1750000.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
30,30,41,AAEl999//0WilZaufbgTSkJw,사학과,동양사전공,AAFBKraQqsli+Qwh7Gi8Zf+u,CHN,석사과정,2018.0,2R,19900128,2020,1R,4.27,4,95.0,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
31,31,42,AAGODmQonSz4II/HI4vVXUFe,컴퓨터학과,소프트웨어전공,AAHlCxUQwggid/3SmpgwUN2W,KOR,석사과정,2020.0,1R,19940214,2020,1R,4.24,4,48.0,45.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
32,32,43,AAEyEX0X1Q4qlrLMjMkEm8C3,법학과,상법전공,AAGy0qCzwwAtJbn7rcwu3s9c,KOR,석사과정,2018.0,2R,19741026,2020,1R,4.38,4,40.0,46.9,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
33,33,45,AAHDDCqbXNA5KzoQSUQ9WHsy,컴퓨터학과,소프트웨어전공,AAFZ2VmriX3rQcXRM74rVPDs,KOR,석사과정,2020.0,1R,19900812,2020,1R,4.06,4,45.3,45.2,,21580037.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
34,34,46,AAHSpg/gSx7uicgzJv/p1XsL,컴퓨터학과,소프트웨어전공,AAHlCxUQwggid/3SmpgwUN2W,KOR,석사과정,2020.0,1R,19950329,2020,1R,4.34,4,43.0,44.5,,33903000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
35,35,47,AAF+N2uIbd15TcZ0MVR7NnI3,산업경영공학과,산업경영공학전공,AAG3lR75Qdq4S6hdfCFvhzEN,KOR,석사과정,2020.0,1R,19790717,2020,1R,4.28,4,39.0,42.0,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
