,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,학번,학과,전공,전공교수,rec014_nation_cd,과정,수료년도,수료학기,rec014_birth_dt,졸업년도,졸업학기,gpa,rec014_school_term,서류점수,면접점수,인건비총액,학생소속대학명_간호대학,학생소속대학명_경영대학,학생소속대학명_공과대학,학생소속대학명_문과대학,학생소속대학명_미디어학부,학생소속대학명_법과대학,학생소속대학명_보건과학대학,학생소속대학명_사범대학,학생소속대학명_생명과학대학,학생소속대학명_심리학부,학생소속대학명_의과대학,학생소속대학명_이과대학,학생소속대학명_정경대학,학생소속대학명_정보대학,학생교육부계열_공학,학생교육부계열_예·체능,학생교육부계열_의학,학생교육부계열_인문·사회,학생교육부계열_자연과학,성별_1,성별_2,입학과정_군위탁생,입학과정_외국인,입학과정_정원내신입학,입학과정_정원외-계약학과,입학과정_편입학박사(3학기),입학과정_학연산협동과정,학적_졸업,학부출신_자교,학부출신_타교,대학원출신_자교,대학원출신_타교,대학원출신_nan,졸업에걸린기간
59,59,59,283,AAHTF0BDVtoOOY/xvLc6cMdH,의학과,정형외과학전공,AAGYHUf4KTkPLTf8bnBMSt/7,KOR,박사과정,2019,1R,19830905,2020,1R,4.04,4,46,44.67,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,6
60,60,60,285,AAFYhPRmDhAYOcvMdoM6QHB4,의학과,정형외과학전공,AAHlIFfl4x3Bd7fh3igHCmn/,KOR,박사과정,2019,1R,19820717,2020,1R,4.13,4,45,46,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,6
61,61,61,294,AAGcPO9InkOeTygdWuSYYC0p,산업경영공학과,산업경영공학전공,AAFALvCxkcHPLh1HSG5JfBLX,KOR,박사과정,2018,1R,19871023,2020,1R,4.42,4,48,46,101300000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,8
62,62,62,295,AAEIK+VOpg+BR4f2jw3GKCp/,뇌공학과,뇌공학전공,AAH0O2zWZGja8LwBGM0kgutl,VNM,박사과정,2018,1R,19861030,2020,1R,4.08,4,95,,67440000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,8
63,63,63,298,AAEor9YgBTy/6mIBJL0AtojD,의학과,흉부외과학전공,AAEGbSlGDGshjcGM7plmga+b,KOR,박사과정,2019,1R,19751206,2020,1R,4.33,4,48,45.33,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,6
64,64,64,301,AAEcMkon5sXbQQlo3E4Z/wNe,건축사회환경공학과,사회인프라전공,AAG/k5m8JyuxBPC7I/vkq0VW,KOR,박사과정,2018,1R,19830804,2020,1R,4.27,4,48,46.33,132135524,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,8
65,65,65,312,AAES1abnTXXlnTQEFQ4JLNaw,의학과,영상의학전공,AAG4L46FFW18s08v7XnrLGD2,KOR,박사과정,2019,1R,19860822,2020,1R,4.21,4,41,45,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,6
66,66,66,328,AAExl7lhh2I3wT9S8aohPC4I,바이오융합공학과,바이오융합공학전공,AAFwssCfN/7xYPC55pzhqS6B,KOR,박사과정,2018,1R,19800302,2020,1R,4.29,4,46,46,74794500,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,8
67,67,67,364,AAHAl2pBU+rpeSpCOgpEj6X6,의학과,정형외과학전공,AAG5DYBvgq9newWQCRHhk8dh,KOR,박사과정,2019,2R,19800915,2020,1R,4.25,4,46.33,46,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,5
68,68,68,365,AAExaIhu1khikegxZdbn8siq,의학과,안과학전공,AAF3sIwQl6+7P/lFsinKrqdh,KOR,박사과정,2019,1R,19870908,2020,1R,4.46,4,45.67,46,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,6
